Order No,Time from Pickup to Arrival
Order_No_6218,2737
Order_No_19174,1960
Order_No_17504,1573
Order_No_13417,2503
Order_No_20985,1466
Order_No_8974,2163
Order_No_16102,2284
Order_No_18610,2340
Order_No_15240,1726
Order_No_8222,2038
Order_No_9716,2629
Order_No_2322,1991
Order_No_20909,2541
Order_No_21364,1994
Order_No_5142,933
Order_No_24450,2258
Order_No_6650,2373
Order_No_5838,1915
Order_No_5507,915
Order_No_14746,1886
Order_No_19695,1946
Order_No_16731,1897
Order_No_26896,1461
Order_No_19027,2707
Order_No_7476,1642
Order_No_7552,1211
Order_No_1197,3229
Order_No_24734,1608
Order_No_21567,1348
Order_No_20868,2222
Order_No_23886,1689
Order_No_20995,2041
Order_No_2832,885
Order_No_18513,990
Order_No_20644,2231
Order_No_15252,1769
Order_No_22288,1807
Order_No_28091,1085
Order_No_15758,1174
Order_No_6985,1790
Order_No_19182,1899
Order_No_16029,1505
Order_No_7628,1356
Order_No_12870,2278
Order_No_5874,3006
Order_No_3122,2597
Order_No_14202,1727
Order_No_18634,2250
Order_No_17859,1245
Order_No_12989,1933
Order_No_11519,2008
Order_No_27804,1081
Order_No_14750,2064
Order_No_27640,1151
Order_No_9577,1425
Order_No_25067,1727
Order_No_5630,1570
Order_No_1662,2602
Order_No_20854,1172
Order_No_10597,2162
Order_No_14406,2514
Order_No_3515,1469
Order_No_479,2072
Order_No_13506,1493
Order_No_8094,1623
Order_No_11527,951
Order_No_1560,1703
Order_No_27797,1139
Order_No_28257,1594
Order_No_28126,1612
Order_No_8053,1164
Order_No_2916,389
Order_No_4016,1234
Order_No_1978,1174
Order_No_7551,786
Order_No_18878,1928
Order_No_17852,1377
Order_No_12724,2693
Order_No_5052,2860
Order_No_9638,1741
Order_No_18608,2925
Order_No_10943,2673
Order_No_19284,1043
Order_No_19089,1132
Order_No_18792,1246
Order_No_27785,1920
Order_No_6310,667
Order_No_3396,975
Order_No_13210,784
Order_No_27338,1549
Order_No_9449,2151
Order_No_9953,2680
Order_No_21319,1504
Order_No_6131,1832
Order_No_16248,2017
Order_No_25511,2143
Order_No_17581,1270
Order_No_15622,1698
Order_No_17371,2118
Order_No_3498,1393
Order_No_21353,1750
Order_No_15321,2208
Order_No_2430,1485
Order_No_12487,1421
Order_No_10610,940
Order_No_13632,1065
Order_No_14310,2027
Order_No_20219,1446
Order_No_24255,1289
Order_No_5688,2049
Order_No_2098,816
Order_No_1638,1970
Order_No_5930,1400
Order_No_23690,1128
Order_No_39,1627
Order_No_4504,1510
Order_No_21781,873
Order_No_18092,1410
Order_No_22970,1263
Order_No_10140,816
Order_No_25566,1227
Order_No_10010,1970
Order_No_13320,1556
Order_No_25781,734
Order_No_11047,704
Order_No_19150,645
Order_No_13956,1202
Order_No_2795,2061
Order_No_9239,872
Order_No_25948,1243
Order_No_24195,552
Order_No_21625,1240
Order_No_27048,1547
Order_No_17009,1365
Order_No_25336,1437
Order_No_5171,2044
Order_No_15698,1655
Order_No_22233,1161
Order_No_26486,1890
Order_No_2207,1993
Order_No_25857,1942
Order_No_11783,2008
Order_No_24512,1746
Order_No_8030,1919
Order_No_12442,1078
Order_No_16773,1125
Order_No_7245,1482
Order_No_22380,1990
Order_No_24611,1533
Order_No_11281,1468
Order_No_20685,1995
Order_No_25650,2856
Order_No_7279,1490
Order_No_21590,1752
Order_No_15175,2467
Order_No_2549,2090
Order_No_21355,844
Order_No_13240,2322
Order_No_12289,2716
Order_No_13640,1929
Order_No_7348,1797
Order_No_10368,2223
Order_No_6499,1649
Order_No_16129,1791
Order_No_4700,1671
Order_No_11499,1007
Order_No_14316,1958
Order_No_19729,1807
Order_No_2709,2335
Order_No_2587,1744
Order_No_14584,1693
Order_No_5775,1574
Order_No_5957,1672
Order_No_13108,2313
Order_No_8952,2499
Order_No_25039,1030
Order_No_28178,1756
Order_No_9911,1779
Order_No_14887,671
Order_No_25164,1502
Order_No_643,1182
Order_No_25036,1105
Order_No_23513,1774
Order_No_9998,1406
Order_No_20542,1457
Order_No_17096,1750
Order_No_6667,2380
Order_No_3386,2048
Order_No_7801,1557
Order_No_13317,1548
Order_No_27525,2189
Order_No_28039,2685
Order_No_27356,866
Order_No_19531,1881
Order_No_17221,1625
Order_No_14666,754
Order_No_2529,1278
Order_No_8108,1024
Order_No_22718,1988
Order_No_23815,2011
Order_No_355,320
Order_No_5502,860
Order_No_2279,755
Order_No_14760,1328
Order_No_16284,1750
Order_No_24054,392
Order_No_6308,1228
Order_No_18471,3121
Order_No_16885,1872
Order_No_6235,1235
Order_No_21139,1024
Order_No_8441,2077
Order_No_20358,2235
Order_No_22958,1236
Order_No_9958,2007
Order_No_186,991
Order_No_18335,1171
Order_No_8294,2014
Order_No_14984,1542
Order_No_12808,1319
Order_No_16613,718
Order_No_5967,1248
Order_No_13061,406
Order_No_510,1355
Order_No_11737,1464
Order_No_9065,1786
Order_No_14733,1462
Order_No_23792,1118
Order_No_19970,1345
Order_No_5732,861
Order_No_16861,1538
Order_No_548,1078
Order_No_3614,1439
Order_No_14685,1620
Order_No_14852,1523
Order_No_5906,1735
Order_No_8086,2081
Order_No_20426,1538
Order_No_15713,1860
Order_No_5421,1769
Order_No_21090,1605
Order_No_10249,2633
Order_No_23243,1416
Order_No_3973,1763
Order_No_18105,1959
Order_No_18247,1669
Order_No_5518,1889
Order_No_14326,1164
Order_No_11696,2461
Order_No_25233,1775
Order_No_21758,1766
Order_No_13807,2531
Order_No_9504,885
Order_No_19952,1290
Order_No_5945,1787
Order_No_21884,1784
Order_No_23875,1867
Order_No_17475,2072
Order_No_11831,1117
Order_No_14853,1474
Order_No_8626,1436
Order_No_11618,1271
Order_No_6579,2273
Order_No_4411,1226
Order_No_13952,1208
Order_No_20612,1847
Order_No_14554,1353
Order_No_23765,2336
Order_No_15377,1335
Order_No_484,1098
Order_No_20145,908
Order_No_15587,978
Order_No_1391,1173
Order_No_21529,1582
Order_No_12180,1105
Order_No_26836,1302
Order_No_20602,1822
Order_No_28137,1301
Order_No_7831,687
Order_No_10415,1467
Order_No_18209,852
Order_No_1785,1736
Order_No_26356,1676
Order_No_22626,2658
Order_No_20408,1695
Order_No_1291,1847
Order_No_3872,2089
Order_No_7811,1561
Order_No_1688,1364
Order_No_10749,1331
Order_No_8606,677
Order_No_21045,1337
Order_No_24642,765
Order_No_19658,539
Order_No_11143,1391
Order_No_20174,1306
Order_No_11271,1303
Order_No_21619,2130
Order_No_12882,1753
Order_No_13707,2797
Order_No_27870,1508
Order_No_27175,776
Order_No_23193,3075
Order_No_26792,783
Order_No_8477,1989
Order_No_5644,1994
Order_No_17568,1013
Order_No_24791,2025
Order_No_8516,2071
Order_No_14352,4099
Order_No_21115,545
Order_No_14295,1287
Order_No_4241,672
Order_No_6537,963
Order_No_5745,2376
Order_No_7814,2686
Order_No_17036,1258
Order_No_7550,1774
Order_No_8541,2788
Order_No_17107,1351
Order_No_15533,1208
Order_No_24471,1559
Order_No_22059,2097
Order_No_13682,1163
Order_No_16304,1809
Order_No_15971,777
Order_No_13816,2534
Order_No_1299,707
Order_No_16591,496
Order_No_14301,1318
Order_No_11796,2203
Order_No_1496,650
Order_No_15046,1658
Order_No_14012,1914
Order_No_24632,1327
Order_No_15371,1330
Order_No_26341,2332
Order_No_22604,1596
Order_No_6864,1208
Order_No_4975,1670
Order_No_24591,1410
Order_No_25549,1451
Order_No_18512,1311
Order_No_26563,1381
Order_No_25165,2254
Order_No_15832,2178
Order_No_24376,1678
Order_No_20678,1627
Order_No_10522,798
Order_No_22205,963
Order_No_10745,1846
Order_No_19717,2338
Order_No_23942,1307
Order_No_5473,1254
Order_No_26248,1447
Order_No_5324,1709
Order_No_26892,568
Order_No_6840,1623
Order_No_26156,2149
Order_No_9183,1564
Order_No_20185,958
Order_No_8896,848
Order_No_5444,2714
Order_No_9975,1457
Order_No_19711,1070
Order_No_5148,1500
Order_No_22964,2560
Order_No_26674,621
Order_No_20033,1701
Order_No_17258,1787
Order_No_23885,1487
Order_No_9908,737
Order_No_10017,1577
Order_No_3652,1551
Order_No_6052,2342
Order_No_19139,1514
Order_No_4240,2257
Order_No_14479,1653
Order_No_26236,1516
Order_No_18468,1844
Order_No_10170,1701
Order_No_27719,1579
Order_No_21645,1384
Order_No_21459,1194
Order_No_22807,1763
Order_No_10608,1463
Order_No_26682,1326
Order_No_9246,1691
Order_No_26933,2059
Order_No_20284,1448
Order_No_16582,2864
Order_No_18020,2517
Order_No_11578,1167
Order_No_2623,2398
Order_No_19145,2251
Order_No_19497,1597
Order_No_17066,2322
Order_No_7934,1423
Order_No_27076,3160
Order_No_18743,2349
Order_No_27790,2303
Order_No_25259,2335
Order_No_3411,688
Order_No_14195,1417
Order_No_4723,676
Order_No_15357,771
Order_No_8096,1944
Order_No_3358,1712
Order_No_24929,2037
Order_No_3328,1587
Order_No_8953,2829
Order_No_21906,1486
Order_No_12892,656
Order_No_27330,1777
Order_No_13690,1530
Order_No_7152,672
Order_No_10494,1731
Order_No_18970,986
Order_No_7099,988
Order_No_16952,1817
Order_No_11812,1197
Order_No_8455,609
Order_No_15409,3467
Order_No_15834,1512
Order_No_19785,1665
Order_No_16639,1304
Order_No_17577,1577
Order_No_3532,632
Order_No_10653,1415
Order_No_20217,2550
Order_No_17673,2242
Order_No_12274,1982
Order_No_19901,1950
Order_No_9030,1527
Order_No_25892,2491
Order_No_19383,1882
Order_No_3682,2675
Order_No_18661,1385
Order_No_21675,911
Order_No_6163,2042
Order_No_23160,1600
Order_No_20045,2298
Order_No_676,824
Order_No_21541,1992
Order_No_25783,2721
Order_No_19780,2578
Order_No_23340,2196
Order_No_19305,1449
Order_No_7311,1139
Order_No_801,859
Order_No_12769,1228
Order_No_9896,1419
Order_No_23391,1884
Order_No_25574,1887
Order_No_19657,944
Order_No_11883,1623
Order_No_27534,1409
Order_No_20797,1568
Order_No_1606,2168
Order_No_23082,1821
Order_No_6198,1596
Order_No_13152,619
Order_No_13090,1034
Order_No_287,1734
Order_No_3821,1518
Order_No_11601,2377
Order_No_4654,1223
Order_No_15157,1513
Order_No_1399,3389
Order_No_20313,1594
Order_No_26573,1495
Order_No_26734,1505
Order_No_23536,2246
Order_No_18602,1943
Order_No_540,1389
Order_No_18916,2021
Order_No_18810,1048
Order_No_9462,1689
Order_No_23237,1267
Order_No_9095,1443
Order_No_867,1195
Order_No_13162,1528
Order_No_12632,2047
Order_No_20015,1266
Order_No_15775,1716
Order_No_5074,2066
Order_No_1536,910
Order_No_19943,2195
Order_No_6287,1468
Order_No_17352,1063
Order_No_5750,1585
Order_No_24437,1318
Order_No_24827,1495
Order_No_18938,1145
Order_No_24280,1290
Order_No_7115,991
Order_No_4908,1063
Order_No_27777,1314
Order_No_19158,1380
Order_No_7585,2473
Order_No_19450,1502
Order_No_9747,1211
Order_No_5799,1519
Order_No_28260,1082
Order_No_12246,1001
Order_No_25826,888
Order_No_4691,1643
Order_No_13884,1680
Order_No_10325,1131
Order_No_8100,1680
Order_No_17465,949
Order_No_2367,1511
Order_No_21080,1247
Order_No_6990,1475
Order_No_2240,1719
Order_No_5905,1459
Order_No_18566,1152
Order_No_14488,1246
Order_No_14987,1153
Order_No_21799,1327
Order_No_27786,1255
Order_No_806,1495
Order_No_308,809
Order_No_6112,2427
Order_No_9994,1279
Order_No_15076,987
Order_No_4192,1150
Order_No_8405,668
Order_No_1820,2258
Order_No_1078,1395
Order_No_7786,877
Order_No_23124,986
Order_No_10293,3715
Order_No_3277,543
Order_No_22505,890
Order_No_13889,1270
Order_No_9880,1088
Order_No_14734,983
Order_No_9620,1202
Order_No_24340,1057
Order_No_13879,2014
Order_No_13809,1296
Order_No_28064,1302
Order_No_19686,2670
Order_No_16049,417
Order_No_15069,1164
Order_No_28224,1193
Order_No_18668,1191
Order_No_27246,1586
Order_No_16100,2151
Order_No_9345,283
Order_No_1612,1511
Order_No_13180,1433
Order_No_6184,1088
Order_No_24302,1145
Order_No_22523,2033
Order_No_25840,1290
Order_No_6408,985
Order_No_8191,1394
Order_No_26783,1185
Order_No_5718,931
Order_No_23973,1087
Order_No_469,645
Order_No_9793,1468
Order_No_4600,1260
Order_No_21556,2023
Order_No_14209,928
Order_No_7589,903
Order_No_16570,798
Order_No_1938,1674
Order_No_24724,1739
Order_No_8499,2005
Order_No_22857,1593
Order_No_24545,1437
Order_No_20627,1513
Order_No_5374,2405
Order_No_16583,1818
Order_No_3013,848
Order_No_15897,1070
Order_No_6242,1285
Order_No_10795,1188
Order_No_11326,1280
Order_No_8849,1922
Order_No_4578,852
Order_No_1794,1644
Order_No_16566,1420
Order_No_13328,1123
Order_No_9835,1370
Order_No_9020,2213
Order_No_1081,2156
Order_No_18330,1784
Order_No_15697,1517
Order_No_20310,987
Order_No_21133,1041
Order_No_11500,1912
Order_No_27395,862
Order_No_1326,1854
Order_No_26979,950
Order_No_20718,1958
Order_No_26454,1699
Order_No_19909,1637
Order_No_155,1572
Order_No_18346,905
Order_No_12219,1874
Order_No_8151,1711
Order_No_17193,1811
Order_No_26380,1552
Order_No_21450,2426
