Personal or Business,Day of Month,Placement - Time,Confirmation - Time,Arrival at Pickup - Time,Pickup - Time,Distance (KM),Temperature,Pickup Lat,Pickup Long,Destination Lat,Destination Long,No_Of_Orders,Age,Average_Rating,No_of_Ratings,Platform Type 1,Platform Type 2,Platform Type 3,Platform Type 4,Bearing,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0,16,59329.0,60048.0,61666.0,61835.0,10,19.9,-1.2626906,36.7827022,-1.3090203999999999,36.84091420000001,1637,1309,13.8,549,0,0,1,0,128.52328185092995,0,0,1,0,0,0,0
0,28,57811.0,58065.0,59202.0,59755.0,3,22.4,-1.3077869,36.844320700000004,-1.3090727,36.831526200000006,1637,1309,13.8,549,0,0,1,0,264.2596207312115,1,0,0,0,0,0,0
0,8,35903.0,36779.0,39006.0,39099.0,6,26.4,-1.2574219,36.7927073,-1.2770708,36.8231093,1637,1309,13.8,549,0,0,1,0,122.8814273232561,0,0,0,1,0,0,0
1,2,44885.0,44967.0,46277.0,46413.0,14,20.8,-1.2848681,36.7904515,-1.2297202,36.881950700000004,1637,1309,13.8,549,0,0,1,0,58.916928530836856,0,1,0,0,0,0,0
0,14,50042.0,50133.0,50655.0,51083.0,4,27.7,-1.2551895,36.7822034,-1.2738521999999999,36.799281799999996,1637,1309,13.8,549,0,0,1,0,137.54523359895853,0,0,0,1,0,0,0
0,4,40149.0,40191.0,40736.0,41146.0,5,25.4,-1.2857671,36.7875614,-1.2996681,36.806841299999995,1637,1309,13.8,549,0,0,1,0,125.79911552458168,1,0,0,0,0,0,0
0,9,49460.0,61812.0,63386.0,63614.0,2,25.0,-1.2615888000000002,36.7928732,-1.2527958000000001,36.8003131,1637,1309,13.8,549,0,0,1,0,40.228382330692114,0,0,0,0,1,0,0
0,24,45603.0,45689.0,46468.0,46597.0,7,24.3,-1.304735,36.784605400000004,-1.3044313,36.818504,1637,1309,13.8,549,0,0,1,0,89.48694954078735,0,0,0,1,0,0,0
1,2,26255.0,27201.0,29644.0,29788.0,3,18.1,-1.2676569,36.80181279999999,-1.273854,36.8003368,1637,1309,13.8,549,1,0,0,0,193.3936800016884,0,0,1,0,0,0,0
0,25,44608.0,48534.0,49146.0,49570.0,14,23.3,-1.3177546999999998,36.8303703,-1.306378,36.7519845,1637,1309,13.8,549,0,0,1,0,278.2593265477539,0,0,0,0,1,0,0
0,14,48805.0,48851.0,50718.0,50785.0,7,25.5,-1.2879652,36.8203441,-1.2595421999999998,36.7871178,1637,1309,13.8,549,0,0,1,0,310.551521607607,1,0,0,0,0,0,0
0,15,42626.0,42647.0,42977.0,43083.0,12,24.3,-1.2681003999999998,36.7952081,-1.2101621,36.787859399999995,1637,1309,13.8,549,0,0,1,0,352.77298650874206,0,0,0,1,0,0,0
1,17,51512.0,51829.0,52808.0,56156.0,6,28.5,-1.273808,36.8402896,-1.2768326,36.8073804,1637,1309,13.8,549,0,0,1,0,264.74718455400136,0,0,1,0,0,0,0
1,12,40576.0,41001.0,42022.0,42249.0,16,26.4,-1.351453,36.899315,-1.2950041,36.814358299999995,396,339,13.6,69,0,0,1,0,303.6078367872169,0,0,0,0,1,0,0
0,22,38539.0,38559.0,40469.0,40538.0,24,23.3,-1.3244885,36.897791999999995,-1.3107918,36.761794,396,339,13.6,69,0,0,1,0,275.75095448473337,0,0,1,0,0,0,0
0,15,41641.0,41665.0,42820.0,43588.0,18,25.8,-1.3393547,36.8910035,-1.2600926000000001,36.8088685,396,339,13.6,69,0,0,1,0,313.98665977118344,0,0,0,0,1,0,0
1,14,45484.0,45537.0,46509.0,46773.0,18,21.8,-1.32943,36.894242999999996,-1.2661981000000002,36.815471200000005,396,339,13.6,69,0,0,1,0,308.76107640159654,0,0,0,0,1,0,0
0,10,41317.0,41347.0,41513.0,43277.0,9,18.3,-1.3285517,36.9018,-1.3194518,36.869396,396,339,13.6,69,0,0,1,0,285.6897541267216,1,0,0,0,0,0,0
0,4,51715.0,51780.0,55177.0,55713.0,12,22.4,-1.2662728,36.8151265,-1.3250048,36.869718799999994,396,339,13.6,69,0,0,1,0,137.0999854914382,0,1,0,0,0,0,0
0,20,55311.0,55377.0,56313.0,56537.0,13,28.3,-1.3210188999999999,36.841055100000005,-1.2871375,36.8898931,396,339,13.6,69,0,0,1,0,55.242597392865434,0,0,1,0,0,0,0
0,21,57560.0,57632.0,58841.0,62178.0,22,23.9,-1.3244885,36.897791999999995,-1.3014461000000002,36.7661381,396,339,13.6,69,0,0,1,0,279.9285411718502,0,1,0,0,0,0,0
0,14,43303.0,43822.0,44518.0,45890.0,5,23.9,-1.3167113000000001,36.8301563,-1.3077869,36.844320700000004,396,339,13.6,69,0,0,1,0,57.780058493149966,0,0,0,1,0,0,0
0,15,44690.0,44790.0,45803.0,46241.0,13,26.3,-1.2679513999999998,36.8095213,-1.3189252,36.861726899999994,396,339,13.6,69,0,0,1,0,134.32389547964488,0,0,0,0,1,0,0
0,8,36376.0,36423.0,38823.0,40233.0,20,27.9,-1.3533402,36.9078924,-1.2571472,36.795063299999995,396,339,13.6,69,0,0,1,0,310.4554562226273,1,0,0,0,0,0,0
0,7,57037.0,57117.0,57706.0,58748.0,7,23.2587952236677,-1.2673786,36.8081593,-1.300921,36.828195,396,339,13.6,69,0,0,1,0,149.15564939436263,0,1,0,0,0,0,0
0,9,45677.0,46855.0,47685.0,48255.0,12,23.2587952236677,-1.2284323,36.8757058,-1.2925641,36.897644899999996,396,339,13.6,69,0,0,1,0,161.1189799789015,0,0,0,1,0,0,0
0,15,59557.0,60331.0,61805.0,61981.0,18,27.8,-1.3189252,36.861726899999994,-1.3516579,36.729836299999995,396,339,13.6,69,0,0,1,0,256.0567366362257,0,0,0,0,1,0,0
0,31,41620.0,41765.0,41971.0,42657.0,11,21.5,-1.3323107,36.8692616,-1.296965,36.806567799999996,396,339,13.6,69,0,0,1,0,299.4192968086923,0,0,0,0,1,0,0
1,4,44692.0,44857.0,45983.0,46722.0,20,25.5,-1.3247683000000001,36.85803,-1.2163547,36.8862404,396,339,13.6,69,0,0,1,0,14.582415872365004,1,0,0,0,0,0,0
0,27,43401.0,43587.0,44452.0,46255.0,14,20.7,-1.3261878999999999,36.86017929999999,-1.2551895,36.7822034,396,339,13.6,69,0,0,1,0,312.3247540872993,1,0,0,0,0,0,0
0,30,51810.0,51877.0,52229.0,53537.0,12,23.2587952236677,-1.300921,36.828195,-1.2799576000000001,36.7630239,396,339,13.6,69,0,0,1,0,287.8347771494238,0,1,0,0,0,0,0
0,21,57213.0,57227.0,57382.0,57570.0,3,31.2,-1.2551895,36.7822034,-1.25896,36.8016691,396,339,13.6,69,0,0,1,0,100.96520671060739,0,0,0,1,0,0,0
0,15,33058.0,33107.0,34386.0,35738.0,30,20.3,-1.3043416,36.907419899999994,-1.3254522,36.721658399999995,396,339,13.6,69,0,0,1,0,263.5126998389363,0,0,0,0,1,0,0
0,23,54015.0,54046.0,54511.0,54964.0,7,24.6,-1.3244885,36.897791999999995,-1.34364,36.8925345,396,339,13.6,69,0,0,1,0,195.34673798767835,0,0,0,1,0,0,0
0,31,54147.0,55348.0,58751.0,61031.0,21,23.6,-1.3700383,36.9190174,-1.2917868000000001,36.7872675,396,339,13.6,69,0,0,1,0,300.71300391738106,0,0,0,0,1,0,0
0,7,54182.0,54205.0,54213.0,54627.0,3,23.2587952236677,-1.2551895,36.7822034,-1.273488,36.804158,396,339,13.6,69,0,0,1,0,129.81729462084252,0,1,0,0,0,0,0
0,6,36637.0,36658.0,39501.0,39857.0,11,19.6,-1.34364,36.8925345,-1.3065588,36.9076533,396,339,13.6,69,0,0,1,0,22.176593525720193,0,0,0,1,0,0,0
0,11,50399.0,50483.0,52536.0,53709.0,17,28.9,-1.2859912,36.8756811,-1.3472066,36.7692638,396,339,13.6,69,0,0,1,0,240.08304698823665,1,0,0,0,0,0,0
0,14,47686.0,47733.0,49752.0,49922.0,15,23.2587952236677,-1.3459625,36.9073925,-1.300921,36.828195,396,339,13.6,69,0,0,1,0,299.63356859941126,0,1,0,0,0,0,0
0,10,49282.0,49356.0,50350.0,50780.0,19,18.1,-1.2571472,36.795063299999995,-1.1720874,36.8219039,396,339,13.6,69,0,0,1,0,17.509670429272376,1,0,0,0,0,0,0
0,15,52803.0,52832.0,53537.0,54575.0,22,23.2587952236677,-1.3244885,36.897791999999995,-1.261403,36.769224200000004,396,339,13.6,69,0,0,1,0,296.14051907059536,1,0,0,0,0,0,0
0,14,40065.0,40341.0,41022.0,42362.0,3,23.7,-1.300921,36.828195,-1.315089,36.833064,396,339,13.6,69,0,0,1,0,161.03875756436446,0,0,0,1,0,0,0
0,30,55319.0,55813.0,57035.0,57358.0,4,23.2587952236677,-1.2551895,36.7822034,-1.266294,36.8057971,396,339,13.6,69,0,0,1,0,115.20987403183864,0,1,0,0,0,0,0
0,29,53989.0,54070.0,55230.0,56966.0,15,23.2587952236677,-1.32943,36.894242999999996,-1.3041128999999998,36.810493900000004,396,339,13.6,69,0,0,1,0,286.82313503765573,1,0,0,0,0,0,0
1,15,41298.0,41318.0,41710.0,42682.0,7,26.3,-1.3019530000000001,36.788458,-1.2715686000000002,36.8023526,396,339,13.6,69,0,0,1,0,24.569019521489167,0,0,0,0,1,0,0
0,12,50954.0,51079.0,52231.0,52918.0,14,23.2587952236677,-1.3302996,36.8707935,-1.2538731,36.7850223,396,339,13.6,69,0,0,1,0,311.708924461002,0,0,0,0,1,0,0
0,14,54035.0,54174.0,55026.0,55421.0,12,27.4,-1.331619,36.847976,-1.3444459999999998,36.756597,396,339,13.6,69,0,0,1,0,262.006302542044,0,0,0,1,0,0,0
0,29,52155.0,53036.0,53304.0,54740.0,7,20.9,-1.3244885,36.897791999999995,-1.34364,36.8925345,396,339,13.6,69,0,0,1,0,195.34673798767835,0,0,1,0,0,0,0
1,4,52241.0,54413.0,55848.0,55945.0,6,23.2587952236677,-1.3247683000000001,36.85803,-1.3119323999999999,36.8382423,396,339,13.6,69,0,0,1,0,302.9773962105226,1,0,0,0,0,0,0
1,10,54945.0,55142.0,56100.0,56338.0,14,18.1,-1.2201256999999999,36.8115035,-1.2929587,36.783318,396,339,13.6,69,0,0,1,0,201.15089664044726,1,0,0,0,0,0,0
0,14,57401.0,58320.0,58860.0,59924.0,13,25.8,-1.332175,36.8819641,-1.300921,36.828195,396,339,13.6,69,0,0,1,0,300.1738145301293,0,0,0,1,0,0,0
0,10,45966.0,46085.0,46629.0,46871.0,14,18.4,-1.3323107,36.8692616,-1.2613768,36.801941799999994,396,339,13.6,69,0,0,1,0,316.50399398666445,1,0,0,0,0,0,0
0,14,49227.0,49263.0,52712.0,53605.0,11,28.1,-1.331619,36.847976,-1.303596,36.778378000000004,396,339,13.6,69,0,0,1,0,291.93617862098523,0,0,0,1,0,0,0
0,17,49521.0,49536.0,49545.0,51255.0,21,23.2587952236677,-1.3285517,36.9018,-1.2761408,36.7710839,396,339,13.6,69,0,0,1,0,291.85204185329053,0,0,1,0,0,0,0
1,1,48845.0,48904.0,49918.0,50116.0,8,32.1,-1.2635051000000002,36.7829162,-1.2969293,36.8027733,396,339,13.6,69,0,0,1,0,149.29223015522746,0,0,0,0,1,0,0
0,21,42153.0,42654.0,43280.0,43541.0,18,27.8,-1.3700383,36.9190174,-1.3038156,36.812273299999994,396,339,13.6,69,0,0,1,0,301.8206796356611,0,0,0,1,0,0,0
0,3,54882.0,54953.0,55369.0,55836.0,14,23.2,-1.2551895,36.7822034,-1.2558721000000002,36.7101188,396,339,13.6,69,0,0,1,0,269.45653795711513,1,0,0,0,0,0,0
0,17,48310.0,48390.0,49429.0,49832.0,14,23.2587952236677,-1.2925641,36.897644899999996,-1.3798085,36.9290528,396,339,13.6,69,0,0,1,0,160.2065018335079,0,0,0,0,1,0,0
0,30,45565.0,45764.0,46174.0,46383.0,3,23.2587952236677,-1.3082842,36.843419399999995,-1.300921,36.828195,1023,242,12.5,114,0,0,1,0,295.81613436516255,0,1,0,0,0,0,0
0,10,51469.0,51583.0,52484.0,53112.0,9,18.2,-1.3014461000000002,36.7661381,-1.2584143,36.8048002,1023,242,12.5,114,0,0,1,0,41.931567059655606,1,0,0,0,0,0,0
0,20,66020.0,66052.0,66483.0,67097.0,10,23.2587952236677,-1.2536275,36.798793200000006,-1.3015197,36.7658456,1023,242,12.5,114,0,0,1,0,214.5191408110404,1,0,0,0,0,0,0
0,26,50647.0,50655.0,50672.0,52349.0,10,23.2587952236677,-1.228911,36.881876,-1.265715,36.823815,1023,242,12.5,114,0,0,1,0,237.62323126382788,0,0,0,0,1,0,0
0,6,38130.0,38147.0,38334.0,38649.0,5,19.5,-1.3228003000000002,36.8306435,-1.3077869,36.844320700000004,1023,242,12.5,114,0,0,1,0,42.326145808306364,0,0,0,1,0,0,0
0,11,47038.0,47192.0,47585.0,47991.0,12,19.2,-1.2726389999999999,36.794723,-1.3178263000000001,36.7141818,1023,242,12.5,114,0,0,1,0,240.6984261821189,0,1,0,0,0,0,0
0,24,52320.0,52416.0,53171.0,53683.0,8,23.0,-1.2580991000000001,36.794151899999996,-1.300921,36.828195,1023,242,12.5,114,0,0,1,0,141.52289355165266,0,0,0,0,1,0,0
0,13,34579.0,34622.0,35254.0,35418.0,13,23.2587952236677,-1.2836583000000001,36.7886014,-1.2355996,36.81607329999999,1023,242,12.5,114,0,0,1,0,29.74801273767605,1,0,0,0,0,0,0
0,26,46147.0,46158.0,46169.0,47059.0,9,23.2587952236677,-1.265715,36.823815,-1.228911,36.881876,1023,242,12.5,114,0,0,1,0,57.62449513580117,0,0,0,0,1,0,0
1,15,41969.0,42165.0,45470.0,46145.0,11,23.2587952236677,-1.2800391000000002,36.831202000000005,-1.2927792,36.9053492,1023,242,12.5,114,0,0,1,0,99.7527018257183,1,0,0,0,0,0,0
0,15,50831.0,50843.0,51570.0,52604.0,14,23.2587952236677,-1.2860183,36.8975338,-1.335477,36.930829700000004,1023,242,12.5,114,0,0,1,0,146.05864348980862,1,0,0,0,0,0,0
0,7,55475.0,55618.0,56353.0,57041.0,5,23.2587952236677,-1.2495931,36.80650870000001,-1.2810807,36.8144229,1023,242,12.5,114,0,0,1,0,165.89472699743123,0,1,0,0,0,0,0
0,16,42222.0,42275.0,42637.0,42995.0,9,23.2587952236677,-1.2551895,36.7822034,-1.2604472,36.8365287,1023,242,12.5,114,0,0,1,0,95.52989151331548,0,0,0,1,0,0,0
0,25,48140.0,48168.0,48184.0,48842.0,9,23.2587952236677,-1.307143,36.825009,-1.303596,36.778378000000004,1023,242,12.5,114,0,0,1,0,274.3504364806388,0,0,0,0,0,1,0
0,4,49228.0,49295.0,50192.0,50651.0,17,22.4,-1.2602337,36.79905479999999,-1.3198615,36.7110323,1023,242,12.5,114,0,0,1,0,235.877952162767,0,1,0,0,0,0,0
0,30,39402.0,39803.0,41068.0,41884.0,13,23.2587952236677,-1.2571472,36.795063299999995,-1.302453,36.8668919,1023,242,12.5,114,0,0,1,0,122.2488770720845,0,1,0,0,0,0,0
0,2,46553.0,46609.0,46974.0,47128.0,13,23.2587952236677,-1.2638185,36.7930057,-1.3228003000000002,36.8306435,1023,242,12.5,114,0,0,1,0,147.46404981510955,0,0,0,1,0,0,0
0,23,35830.0,36046.0,36973.0,37852.0,6,23.2587952236677,-1.3210188999999999,36.841055100000005,-1.2854193,36.829616200000004,1023,242,12.5,114,0,0,1,0,342.1908823266388,0,1,0,0,0,0,0
0,9,31690.0,31740.0,31992.0,32705.0,8,20.8,-1.3004062,36.829741,-1.2638185,36.7930057,1023,242,12.5,114,0,0,1,0,314.8914237047968,0,1,0,0,0,0,0
0,5,30406.0,30429.0,31716.0,32738.0,5,19.6,-1.2638132,36.784977500000004,-1.2551895,36.7822034,1023,242,12.5,114,0,0,1,0,342.17189055981464,0,0,0,0,1,0,0
0,22,34875.0,34913.0,37775.0,38151.0,12,23.3,-1.279395,36.825364,-1.2232123,36.8932547,1023,242,12.5,114,0,0,1,0,50.384701330252256,0,0,1,0,0,0,0
0,26,35385.0,35414.0,36609.0,36917.0,8,23.2587952236677,-1.2551895,36.7822034,-1.295156,36.809430600000006,1023,242,12.5,114,0,0,1,0,145.74223566059993,0,0,0,0,1,0,0
0,21,34314.0,34377.0,36444.0,36697.0,5,23.2587952236677,-1.2770708,36.8231093,-1.3004062,36.829741,1023,242,12.5,114,0,0,1,0,164.13923709625556,0,1,0,0,0,0,0
0,11,41175.0,41190.0,43305.0,46479.0,8,23.2587952236677,-1.3167113000000001,36.8301563,-1.2770708,36.8231093,1023,242,12.5,114,0,0,1,0,349.9221315260602,0,0,0,0,0,1,0
0,24,41293.0,41395.0,42708.0,45541.0,5,23.2587952236677,-1.3024794,36.8228284,-1.2764098999999998,36.8208451,1023,242,12.5,114,0,0,1,0,355.650541059464,0,0,1,0,0,0,0
0,13,47979.0,48189.0,49178.0,50069.0,9,23.2587952236677,-1.279395,36.825364,-1.3012008,36.764868,1023,242,12.5,114,0,0,1,0,250.17297297522788,1,0,0,0,0,0,0
1,20,48419.0,48491.0,50566.0,50987.0,21,23.2587952236677,-1.2575690000000002,36.842164000000004,-1.3334681000000002,36.7116093,1023,242,12.5,114,0,0,1,0,239.82022463416547,1,0,0,0,0,0,0
0,16,50907.0,50962.0,52237.0,52805.0,3,23.2587952236677,-1.2551895,36.7822034,-1.2638132,36.784977500000004,1023,242,12.5,114,0,0,1,0,162.1719515364057,0,0,0,1,0,0,0
0,29,51618.0,52594.0,52978.0,53275.0,9,21.1,-1.2638185,36.7930057,-1.3004062,36.829741,1023,242,12.5,114,0,0,1,0,134.89224566508187,0,0,1,0,0,0,0
0,13,32774.0,32792.0,33126.0,33659.0,9,20.2,-1.2638185,36.7930057,-1.3004062,36.829741,1023,242,12.5,114,0,0,1,0,134.89224566508187,0,0,0,0,0,1,0
0,4,55086.0,55475.0,55982.0,56483.0,8,22.5,-1.3015197,36.7658456,-1.3192788999999998,36.711299100000005,1023,242,12.5,114,0,0,1,0,251.96079929957762,0,1,0,0,0,0,0
0,30,47729.0,47863.0,47930.0,49042.0,16,23.2587952236677,-1.300921,36.828195,-1.3990905,36.7682846,1023,242,12.5,114,0,0,1,0,211.38690392263334,0,1,0,0,0,0,0
0,30,60380.0,60801.0,61746.0,62140.0,15,23.2587952236677,-1.300921,36.828195,-1.2156006000000001,36.8916865,1023,242,12.5,114,0,0,1,0,36.649004453304315,0,1,0,0,0,0,0
0,31,53774.0,53920.0,56393.0,57525.0,11,24.8,-1.2670213,36.7994482,-1.3270716,36.8406371,1023,242,12.5,114,0,0,1,0,145.56082687533058,0,0,0,0,1,0,0
0,8,36486.0,36557.0,37317.0,37781.0,5,23.2587952236677,-1.2726506000000002,36.7960153,-1.2887076000000002,36.825465799999996,1023,242,12.5,114,0,0,1,0,118.60644409991062,0,0,1,0,0,0,0
0,8,38971.0,39818.0,41007.0,41391.0,6,23.2587952236677,-1.2770708,36.8231093,-1.2638185,36.7930057,1023,242,12.5,114,0,0,1,0,293.7650633832601,0,0,1,0,0,0,0
0,4,42508.0,42532.0,42849.0,43476.0,4,20.7,-1.2965045,36.7913036,-1.3009676000000001,36.7657189,1023,242,12.5,114,0,0,1,0,260.10187944206564,0,1,0,0,0,0,0
0,5,34539.0,34631.0,35468.0,35917.0,4,19.6,-1.2726389999999999,36.794723,-1.2760462,36.807469700000006,1023,242,12.5,114,0,0,1,0,104.96899761359691,0,0,0,0,1,0,0
0,12,47272.0,47560.0,48739.0,49116.0,8,20.9,-1.3045333000000001,36.82280720000001,-1.2603403,36.7998848,1023,242,12.5,114,0,0,1,0,332.59035922353326,0,0,1,0,0,0,0
0,12,56407.0,57242.0,59210.0,59393.0,22,21.0,-1.2551895,36.7822034,-1.3433296000000001,36.910612799999996,1023,242,12.5,114,0,0,1,0,124.47398604319966,0,0,1,0,0,0,0
0,11,33155.0,33183.0,33834.0,34694.0,6,22.0,-1.2551895,36.7822034,-1.2655306,36.828148,1023,242,12.5,114,0,0,1,0,102.68808981676904,0,0,0,1,0,0,0
0,1,33265.0,33285.0,34511.0,34736.0,21,23.2587952236677,-1.2836583000000001,36.7886014,-1.3559786,36.6547515,1023,242,12.5,114,0,0,1,0,241.60936260290094,0,0,1,0,0,0,0
0,9,49903.0,49924.0,50784.0,51000.0,8,30.7,-1.3167113000000001,36.8301563,-1.2770708,36.8231093,1023,242,12.5,114,0,0,1,0,349.9221315260602,0,1,0,0,0,0,0
0,4,31080.0,31092.0,31616.0,33530.0,14,23.2587952236677,-1.2628473,36.781805,-1.3181159,36.710155900000004,1023,242,12.5,114,0,0,1,0,232.3463343061614,0,0,0,0,0,1,0
0,8,42660.0,42678.0,43449.0,43857.0,5,28.0,-1.3004062,36.829741,-1.3228003000000002,36.8306435,1023,242,12.5,114,0,0,1,0,177.6927978183129,1,0,0,0,0,0,0
0,16,29296.0,29349.0,30902.0,31274.0,6,23.2587952236677,-1.2551895,36.7822034,-1.2897368,36.8226783,1023,242,12.5,114,0,0,1,0,130.48979819680056,0,0,0,1,0,0,0
0,10,55270.0,55328.0,57877.0,58825.0,14,30.8,-1.32189,36.8589727,-1.2907853999999999,36.7774108,1023,242,12.5,114,0,0,1,0,290.8789705727851,0,0,1,0,0,0,0
0,10,36035.0,36042.0,39120.0,39817.0,21,27.6,-1.3444459999999998,36.756597,-1.293515,36.897607,1023,242,12.5,114,0,0,1,0,70.13771277007328,0,0,1,0,0,0,0
0,3,42824.0,43002.0,44419.0,44637.0,11,27.3,-1.3077869,36.844320700000004,-1.2638185,36.7930057,1023,242,12.5,114,0,0,1,0,310.5976190811136,0,0,1,0,0,0,0
0,6,32365.0,32434.0,32635.0,33001.0,15,16.3,-1.2551895,36.7822034,-1.3288106000000002,36.8697344,1023,242,12.5,114,0,0,1,0,130.07487795217622,0,0,0,1,0,0,0
0,29,32247.0,32260.0,32501.0,32698.0,5,17.8,-1.2551895,36.7822034,-1.2684816,36.808562200000004,1023,242,12.5,114,0,0,1,0,116.76657232148392,0,0,1,0,0,0,0
0,20,30180.0,30283.0,32185.0,32477.0,15,19.0,-1.2551895,36.7822034,-1.2343236000000002,36.8861,1023,242,12.5,114,0,0,1,0,78.64268594146802,1,0,0,0,0,0,0
0,24,39139.0,39220.0,40296.0,40820.0,7,21.6,-1.2571472,36.795063299999995,-1.3024794,36.8228284,1023,242,12.5,114,0,0,1,0,148.52000795095603,0,0,0,0,1,0,0
0,8,46448.0,46461.0,47964.0,49071.0,12,29.5,-1.331619,36.847976,-1.293515,36.897607,1023,242,12.5,114,0,0,1,0,52.4782013314491,1,0,0,0,0,0,0
0,9,57953.0,59223.0,59759.0,60544.0,11,23.2587952236677,-1.2571472,36.795063299999995,-1.3039222,36.8534707,1023,242,12.5,114,0,0,1,0,128.69678562802176,0,0,0,1,0,0,0
0,5,53375.0,53605.0,56937.0,57340.0,5,27.4,-1.2900209999999999,36.828206,-1.2917868000000001,36.7872675,1023,242,12.5,114,0,0,1,0,267.5291052247958,0,0,0,0,1,0,0
0,29,30582.0,30720.0,31968.0,32393.0,8,23.2587952236677,-1.3167113000000001,36.8301563,-1.2770708,36.8231093,1023,242,12.5,114,0,0,1,0,349.9221315260602,1,0,0,0,0,0,0
0,10,36170.0,36242.0,36975.0,37648.0,11,16.6,-1.3228003000000002,36.8306435,-1.2638185,36.7930057,1023,242,12.5,114,0,0,1,0,327.4632003075963,1,0,0,0,0,0,0
0,6,32921.0,32983.0,35970.0,36548.0,3,23.2587952236677,-1.2969741000000001,36.7856612,-1.2858578,36.7747046,1023,242,12.5,114,0,0,1,0,315.4216875947292,1,0,0,0,0,0,0
0,6,44114.0,44147.0,44972.0,45314.0,3,19.7,-1.2726389999999999,36.794723,-1.2667386,36.7937745,1023,242,12.5,114,0,0,1,0,350.8699214380294,0,0,0,1,0,0,0
0,22,40742.0,43941.0,44718.0,45035.0,6,23.3,-1.2551895,36.7822034,-1.2857094999999998,36.8188266,1023,242,12.5,114,0,0,1,0,129.813519204312,0,0,1,0,0,0,0
0,13,46073.0,46144.0,48056.0,48315.0,2,22.1,-1.2538731,36.7850223,-1.2648024,36.7966196,1023,242,12.5,114,0,0,1,0,133.30849404321532,0,0,0,1,0,0,0
0,15,41344.0,41353.0,41436.0,41861.0,9,19.1,-1.2574219,36.7927073,-1.2991441000000001,36.7528804,1023,242,12.5,114,0,0,1,0,223.66105126274908,0,0,0,0,0,1,0
0,29,36991.0,37011.0,37078.0,37781.0,6,23.2587952236677,-1.307143,36.825009,-1.265715,36.823815,1023,242,12.5,114,0,0,1,0,358.3495327674217,1,0,0,0,0,0,0
0,17,54784.0,54820.0,54917.0,55426.0,4,23.2587952236677,-1.265432,36.795034,-1.2753108999999998,36.8130185,1023,242,12.5,114,0,0,1,0,118.78616981597264,0,0,0,0,1,0,0
0,11,52457.0,52541.0,53539.0,54808.0,8,27.2,-1.3081376,36.83297720000001,-1.2602337,36.79905479999999,1023,242,12.5,114,0,0,1,0,324.70278280419393,0,0,0,1,0,0,0
0,18,45485.0,45522.0,46164.0,46993.0,23,23.2587952236677,-1.2969741000000001,36.7856612,-1.3724413,36.9284922,1023,242,12.5,114,0,0,1,0,117.85857086288343,0,0,0,1,0,0,0
0,15,54304.0,54337.0,54844.0,55298.0,6,25.8,-1.2726389999999999,36.794723,-1.2977386999999998,36.803144700000004,1023,242,12.5,114,0,0,1,0,161.45629808833883,0,0,1,0,0,0,0
